epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.8208,2.40225,3.3124,3.49771,1.31159,0.42165,0.06503,0.0596,0.02331,0.44746,0.06901,0.06779,0.02057,2.73324,3.21724,4.96835,1.21007,0.000661157,0.000661157,0.000661157
2,139.774,2.25259,2.81419,2.22155,1.22369,0.2754,0.2422,0.14906,0.04901,0.3172,0.24552,0.17587,0.05879,2.63296,2.95722,3.08663,1.25276,0.00130153,0.00130153,0.00130153
3,205.811,2.18959,2.68578,1.84018,1.20073,0.38558,0.25415,0.19567,0.06204,0.38317,0.24353,0.20069,0.05983,2.63446,2.93284,3.68829,1.22167,0.00191551,0.00191551,0.00191551
4,270.698,2.16349,2.68635,1.69919,1.18778,0.36303,0.26609,0.19568,0.06411,0.35406,0.2568,0.19306,0.05946,2.57217,2.86397,3.36235,1.1806,0.0018812,0.0018812,0.0018812
5,336.086,2.13327,2.61107,1.62327,1.18448,0.37653,0.25813,0.21244,0.06648,0.38524,0.2641,0.22982,0.07712,2.58469,2.9239,2.12559,1.16484,0.0018416,0.0018416,0.0018416
6,399.949,2.10029,2.55744,1.56777,1.17128,0.4182,0.33179,0.25511,0.08799,0.4026,0.31387,0.25979,0.08533,2.48456,2.74213,2.10668,1.15467,0.001802,0.001802,0.001802
7,465.745,2.05573,2.47805,1.48929,1.13131,0.33076,0.20106,0.16435,0.05311,0.29196,0.1931,0.16588,0.04743,2.72902,3.08216,2.63895,1.23742,0.0017624,0.0017624,0.0017624
8,529.987,2.0435,2.49547,1.50915,1.13137,0.38114,0.31785,0.25169,0.08918,0.32962,0.29662,0.2353,0.08213,2.43328,2.77216,1.95865,1.10646,0.0017228,0.0017228,0.0017228
9,594.87,1.99459,2.44725,1.41364,1.11873,0.33454,0.27405,0.20678,0.06177,0.28504,0.23756,0.18409,0.05064,2.60516,2.95712,2.19236,1.1475,0.0016832,0.0016832,0.0016832
10,657.983,2.0079,2.45192,1.44548,1.12552,0.25819,0.18708,0.12946,0.034,0.15772,0.13006,0.07841,0.02095,2.90358,3.54389,2.54044,1.23597,0.0016436,0.0016436,0.0016436
11,722.181,1.9445,2.38084,1.39248,1.0999,0.42276,0.2979,0.26773,0.08827,0.32552,0.27007,0.23471,0.06877,2.5659,2.79596,2.00327,1.12951,0.001604,0.001604,0.001604
12,785.373,1.93799,2.41137,1.3898,1.10685,0.47253,0.29861,0.30221,0.11222,0.40083,0.2699,0.26371,0.08596,2.40703,2.83315,2.01054,1.11044,0.0015644,0.0015644,0.0015644
13,850.726,1.90928,2.38612,1.36023,1.09405,0.36293,0.23424,0.20184,0.0656,0.34648,0.22362,0.1965,0.05825,2.67284,3.15004,2.1582,1.1808,0.0015248,0.0015248,0.0015248
14,914.338,1.89977,2.30773,1.32184,1.09112,0.32147,0.31055,0.22347,0.06445,0.23827,0.24021,0.15426,0.0399,2.56272,3.1808,1.99096,1.12364,0.0014852,0.0014852,0.0014852
15,979.782,1.86076,2.30349,1.29692,1.07277,0.47849,0.32207,0.32367,0.11651,0.41586,0.29794,0.29797,0.09923,2.37959,2.70458,1.75912,1.09356,0.0014456,0.0014456,0.0014456
16,1045.23,1.85788,2.28905,1.30184,1.07567,0.42405,0.3278,0.27655,0.09735,0.39659,0.3205,0.27612,0.08915,2.42565,2.80553,1.86478,1.11092,0.001406,0.001406,0.001406
17,1110.53,1.85109,2.27683,1.28084,1.07531,0.4789,0.34904,0.32275,0.11973,0.4294,0.32708,0.30263,0.09657,2.30766,2.69131,1.74562,1.07823,0.0013664,0.0013664,0.0013664
18,1175.02,1.84528,2.2941,1.28593,1.07126,0.40873,0.29396,0.27602,0.09547,0.364,0.2568,0.24175,0.07371,2.47126,2.84441,1.93208,1.08775,0.0013268,0.0013268,0.0013268
19,1240.55,1.81539,2.25075,1.26919,1.05814,0.38012,0.30524,0.27125,0.09065,0.30225,0.28069,0.24065,0.06631,2.45699,2.916,1.83219,1.09169,0.0012872,0.0012872,0.0012872
20,1306.26,1.79365,2.24057,1.21814,1.05286,0.53731,0.35965,0.34303,0.13052,0.50162,0.33577,0.32996,0.11567,2.30435,2.65766,1.65632,1.09758,0.0012476,0.0012476,0.0012476
21,1370.2,1.82396,2.26156,1.24039,1.0587,0.38286,0.3006,0.25372,0.0859,0.31376,0.27671,0.22545,0.06932,2.46724,2.80584,2.05154,1.11596,0.001208,0.001208,0.001208
22,1435.24,1.80589,2.25294,1.21636,1.05316,0.43406,0.3527,0.29934,0.10788,0.40504,0.31803,0.28381,0.08588,2.3951,2.75547,1.84213,1.10611,0.0011684,0.0011684,0.0011684
