epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.5001,2.22712,2.94472,3.02233,1.19529,0.31254,0.04968,0.06298,0.0228,0.31612,0.05025,0.06803,0.0192,2.29776,2.69546,4.30066,1.04986,0.00066092,0.00066092,0.00066092
2,149.442,2.04902,2.44703,1.89436,1.12627,0.24351,0.17972,0.10992,0.03741,0.19639,0.14343,0.0823,0.02111,2.59362,5.12479,3.1865,1.15279,0.0013013,0.0013013,0.0013013
3,209.294,2.0582,2.44745,1.62352,1.13203,0.46038,0.42342,0.37548,0.13527,0.40328,0.36938,0.31529,0.0937,2.1996,2.5312,1.74991,1.01854,0.00191528,0.00191528,0.00191528
4,270.454,2.01276,2.37408,1.47808,1.10878,0.33888,0.37906,0.27762,0.09666,0.26563,0.35117,0.22267,0.06585,2.34489,2.67575,2.05638,1.03303,0.0018812,0.0018812,0.0018812
5,331.185,1.99618,2.35288,1.42771,1.08695,0.35633,0.3819,0.29245,0.11028,0.29353,0.33978,0.24916,0.08191,2.21736,2.46864,2.05862,1.0038,0.0018416,0.0018416,0.0018416
6,391.436,1.94809,2.27046,1.36169,1.07939,0.47068,0.33068,0.31854,0.10359,0.36983,0.24474,0.21377,0.05506,2.40043,2.99721,2.74192,1.04769,0.001802,0.001802,0.001802
7,450.486,1.92592,2.28122,1.33233,1.06796,0.4805,0.45134,0.42301,0.16474,0.45271,0.37962,0.38017,0.128,2.12699,2.42684,1.68202,0.99959,0.0017624,0.0017624,0.0017624
8,512.02,1.92966,2.28589,1.32467,1.05076,0.39985,0.40922,0.284,0.09716,0.36754,0.38475,0.26714,0.07853,2.27257,2.67565,2.30885,1.03855,0.0017228,0.0017228,0.0017228
9,571.311,1.88678,2.24196,1.28534,1.05224,0.44678,0.39385,0.38627,0.13069,0.3191,0.35401,0.28452,0.08392,2.2948,2.49389,1.71901,1.00204,0.0016832,0.0016832,0.0016832
10,632.053,1.88884,2.22898,1.27504,1.04491,0.49651,0.44565,0.42247,0.1582,0.43296,0.36426,0.34643,0.10912,2.17602,2.62418,1.59256,1.00581,0.0016436,0.0016436,0.0016436
11,692.642,1.85164,2.21589,1.25696,1.04394,0.40454,0.37621,0.35262,0.12521,0.2737,0.28401,0.25069,0.07705,2.36496,2.51592,1.89134,1.03068,0.001604,0.001604,0.001604
12,752.557,1.84385,2.20387,1.25827,1.03494,0.46821,0.43346,0.42034,0.15718,0.33214,0.34548,0.3087,0.09145,2.18349,2.52453,1.61264,0.97965,0.0015644,0.0015644,0.0015644
13,812.962,1.82038,2.16277,1.23255,1.02731,0.58122,0.45304,0.46764,0.16985,0.45487,0.39954,0.36988,0.12077,2.1674,2.56199,1.64079,0.994,0.0015248,0.0015248,0.0015248
14,874.118,1.79511,2.13338,1.20696,1.03284,0.42335,0.42686,0.38223,0.1257,0.28491,0.33011,0.25687,0.06909,2.36057,2.56801,1.70443,1.02327,0.0014852,0.0014852,0.0014852
15,933.222,1.78313,2.15135,1.19294,1.02,0.44861,0.40239,0.39927,0.14329,0.31935,0.37507,0.31122,0.09308,2.28403,2.46421,1.78134,1.01804,0.0014456,0.0014456,0.0014456
16,992.25,1.7687,2.14222,1.19333,1.01288,0.51612,0.42345,0.42257,0.14906,0.35168,0.34661,0.30444,0.08721,2.30272,2.59378,1.5836,1.01625,0.001406,0.001406,0.001406
17,1053.22,1.78497,2.11748,1.16241,1.02174,0.49602,0.37138,0.3757,0.11038,0.26443,0.31076,0.21007,0.05203,2.41618,2.58094,1.79981,1.029,0.0013664,0.0013664,0.0013664
18,1113.12,1.7619,2.12028,1.16905,1.01513,0.54738,0.48435,0.45897,0.17024,0.38644,0.38475,0.3313,0.09873,2.06718,2.39068,1.58707,0.96048,0.0013268,0.0013268,0.0013268
19,1172.49,1.73471,2.09883,1.15481,0.99348,0.52737,0.44792,0.46401,0.17383,0.41088,0.38589,0.36058,0.11279,2.06845,2.41145,1.54595,0.95991,0.0012872,0.0012872,0.0012872
20,1233.38,1.73194,2.10658,1.15137,1.0008,0.50834,0.44792,0.44486,0.15844,0.3341,0.37466,0.31447,0.08913,2.18843,2.6023,1.57867,0.98006,0.0012476,0.0012476,0.0012476
21,1292.96,1.71423,2.06549,1.13587,0.99823,0.48239,0.42345,0.40549,0.13375,0.33651,0.28404,0.25635,0.07333,2.33452,2.46542,1.71105,0.99925,0.001208,0.001208,0.001208
