epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.093,2.64295,3.39015,3.59396,1.40519,0.47923,0.10056,0.12652,0.0357,0.43313,0.09089,0.11324,0.02804,2.43888,2.71584,4.0791,1.07315,0.00066092,0.00066092,0.00066092
2,134.947,2.32917,2.78078,2.24942,1.23179,0.38943,0.25048,0.20117,0.0665,0.37936,0.23506,0.19722,0.05715,2.38729,2.97394,2.69311,1.07057,0.0013013,0.0013013,0.0013013
3,200.148,2.29571,2.74217,1.92585,1.22485,0.33228,0.2749,0.21603,0.06133,0.27126,0.25612,0.18047,0.05286,2.56246,2.97174,2.22629,1.09962,0.00191528,0.00191528,0.00191528
4,262.705,2.31533,2.75917,1.85087,1.22378,0.39887,0.34889,0.3086,0.10682,0.33084,0.29124,0.25316,0.07929,2.38331,2.75618,1.89443,1.06865,0.0018812,0.0018812,0.0018812
5,326.652,2.28546,2.72631,1.77497,1.19902,0.32406,0.27888,0.22727,0.06797,0.25793,0.23759,0.16375,0.04413,2.60989,2.61856,2.24546,1.08527,0.0018416,0.0018416,0.0018416
6,388.94,2.21707,2.64078,1.69116,1.17368,0.37421,0.32385,0.25298,0.07022,0.2293,0.26352,0.13956,0.03584,2.54963,2.92722,2.1013,1.08891,0.001802,0.001802,0.001802
7,452.955,2.18519,2.61081,1.66559,1.1651,0.29892,0.25498,0.18232,0.05517,0.24437,0.23597,0.13539,0.04204,2.56812,3.02259,2.31808,1.11409,0.0017624,0.0017624,0.0017624
8,514.853,2.1853,2.62228,1.63316,1.15284,0.42262,0.32669,0.30221,0.09129,0.29586,0.24488,0.19823,0.04908,2.49792,2.83436,1.94064,1.07507,0.0017228,0.0017228,0.0017228
9,576.691,2.12861,2.53436,1.56081,1.13921,0.4586,0.38087,0.3426,0.10362,0.35967,0.31417,0.25633,0.063,2.40231,2.85439,1.77929,1.05904,0.0016832,0.0016832,0.0016832
10,639.455,2.14523,2.57998,1.55933,1.14129,0.43034,0.40808,0.36478,0.1254,0.3226,0.32954,0.26956,0.0763,2.31788,2.47259,1.7222,1.03912,0.0016436,0.0016436,0.0016436
11,701.268,2.09434,2.53858,1.51027,1.12483,0.46611,0.37393,0.36375,0.14139,0.3734,0.33068,0.30143,0.10319,2.21551,2.48678,1.84759,0.99983,0.001604,0.001604,0.001604
12,763.289,2.08267,2.52428,1.50626,1.12369,0.33819,0.33409,0.24345,0.08519,0.2788,0.25157,0.19158,0.05516,2.36686,2.94357,2.02735,1.08509,0.0015644,0.0015644,0.0015644
13,825.986,2.0878,2.52489,1.52976,1.12195,0.49583,0.39044,0.39925,0.14742,0.40334,0.34946,0.31978,0.09638,2.16637,2.53039,1.74475,1.02135,0.0015248,0.0015248,0.0015248
14,888.213,2.06634,2.48707,1.48652,1.13256,0.41327,0.33865,0.31547,0.09708,0.31116,0.26352,0.20711,0.05331,2.48308,2.65511,2.02017,1.06914,0.0014852,0.0014852,0.0014852
15,950.499,2.05776,2.53113,1.49138,1.11166,0.39292,0.32043,0.28771,0.08549,0.25434,0.28168,0.17679,0.04861,2.53541,2.61248,2.23999,1.06039,0.0014456,0.0014456,0.0014456
16,1011.61,2.0631,2.5185,1.47593,1.10938,0.51482,0.36824,0.36572,0.11866,0.38486,0.30336,0.26788,0.0769,2.37312,2.56304,1.79601,1.05712,0.001406,0.001406,0.001406
