epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.0363,2.35303,2.9804,3.24629,1.2379,0.42102,0.13487,0.12695,0.04895,0.45642,0.15065,0.15307,0.05388,2.37229,2.90538,3.85526,1.20067,0.000660714,0.000660714,0.000660714
2,153.608,2.13616,2.51669,2.03175,1.12461,0.342,0.34551,0.23708,0.06756,0.33504,0.35589,0.24889,0.06048,2.52801,2.79937,2.77822,1.35055,0.0013011,0.0013011,0.0013011
3,214.979,2.13139,2.45924,1.73285,1.13824,0.33695,0.33829,0.23917,0.07164,0.36497,0.35438,0.27723,0.08029,2.57685,2.80615,2.13591,1.27184,0.00191508,0.00191508,0.00191508
4,276.459,2.13601,2.46004,1.6073,1.10454,0.40739,0.3752,0.31308,0.10593,0.34681,0.33875,0.25714,0.06856,2.28533,2.63359,1.96693,1.18521,0.0018812,0.0018812,0.0018812
5,338.557,2.10507,2.48538,1.54719,1.11396,0.4225,0.38521,0.32711,0.11552,0.37775,0.37734,0.31731,0.10143,2.25957,2.31465,1.61316,1.15812,0.0018416,0.0018416,0.0018416
6,399.069,2.10596,2.37493,1.51788,1.105,0.32201,0.26613,0.22342,0.05839,0.21789,0.22598,0.15249,0.03731,2.76197,2.79307,2.02788,1.20637,0.001802,0.001802,0.001802
7,459.686,2.04496,2.35476,1.4777,1.0996,0.42057,0.40235,0.34827,0.13519,0.39387,0.38024,0.34013,0.11492,2.09786,2.44264,1.54472,1.08556,0.0017624,0.0017624,0.0017624
8,521.476,2.01474,2.35015,1.4165,1.07511,0.52571,0.41949,0.41222,0.1514,0.48519,0.35544,0.36521,0.113,2.11091,2.52926,1.49643,1.10383,0.0017228,0.0017228,0.0017228
9,581.376,1.95969,2.30547,1.3702,1.05931,0.44699,0.37889,0.35809,0.14234,0.45323,0.36626,0.37576,0.12496,2.25523,2.44757,1.5406,1.16488,0.0016832,0.0016832,0.0016832
10,641.441,1.94346,2.27388,1.3619,1.05739,0.49428,0.40294,0.37791,0.14381,0.49911,0.43527,0.43578,0.15695,2.21332,2.48024,1.55224,1.15646,0.0016436,0.0016436,0.0016436
11,702.666,1.94855,2.27006,1.35342,1.04615,0.45069,0.37844,0.34703,0.12801,0.38748,0.34412,0.30206,0.09442,2.25984,2.42129,1.66421,1.13715,0.001604,0.001604,0.001604
12,764.867,1.93699,2.25903,1.33689,1.04551,0.34855,0.31033,0.23381,0.07692,0.35311,0.31439,0.26446,0.08174,2.62276,2.65667,1.94391,1.31684,0.0015644,0.0015644,0.0015644
13,825.116,1.89426,2.2302,1.29746,1.03708,0.45538,0.38566,0.36316,0.14361,0.43965,0.3843,0.37662,0.13546,2.20107,2.30692,1.52181,1.13109,0.0015248,0.0015248,0.0015248
14,885.99,1.90081,2.23035,1.2921,1.03795,0.42198,0.35589,0.33141,0.11699,0.34586,0.31033,0.2845,0.08069,2.36142,2.48001,1.77992,1.17612,0.0014852,0.0014852,0.0014852
15,948.611,1.88778,2.23924,1.29031,1.03216,0.51919,0.43482,0.43451,0.17538,0.49413,0.36355,0.38566,0.13059,2.05574,2.38425,1.40257,1.07872,0.0014456,0.0014456,0.0014456
16,1008.88,1.83757,2.18548,1.24902,1.02007,0.53572,0.44187,0.41827,0.17058,0.54815,0.37592,0.38264,0.12021,2.02201,2.51109,1.40612,1.08737,0.001406,0.001406,0.001406
17,1069.38,1.87316,2.20579,1.27913,1.02491,0.56581,0.43392,0.4562,0.20161,0.51168,0.40595,0.432,0.14951,1.91916,2.24977,1.4159,1.05277,0.0013664,0.0013664,0.0013664
18,1132.39,1.84299,2.20835,1.25448,1.02196,0.5343,0.47093,0.43775,0.18674,0.5249,0.41813,0.4265,0.1553,1.9941,2.35271,1.39358,1.07931,0.0013268,0.0013268,0.0013268
19,1192.77,1.83956,2.17848,1.24505,1.01706,0.52209,0.44939,0.44131,0.17792,0.47529,0.40911,0.41812,0.1298,1.95753,2.32211,1.38238,1.05838,0.0012872,0.0012872,0.0012872
20,1253.41,1.84869,2.17986,1.25206,1.02233,0.4922,0.41535,0.40015,0.15999,0.48437,0.38347,0.38406,0.1188,2.15371,2.48211,1.50178,1.13853,0.0012476,0.0012476,0.0012476
21,1315.75,1.80801,2.15717,1.20801,1.00465,0.5586,0.46181,0.46223,0.19641,0.54535,0.41588,0.44939,0.1593,1.9502,2.29456,1.35588,1.06117,0.001208,0.001208,0.001208
22,1376.08,1.78971,2.14949,1.20342,1.00865,0.54193,0.45412,0.44421,0.19132,0.5361,0.39693,0.42144,0.15141,1.96475,2.37004,1.37408,1.06412,0.0011684,0.0011684,0.0011684
23,1436.89,1.81055,2.19412,1.21461,1.00895,0.54791,0.46053,0.45465,0.20457,0.53832,0.41137,0.4505,0.16298,1.87414,2.36171,1.36492,1.05151,0.0011288,0.0011288,0.0011288
24,1497.24,1.78834,2.1276,1.18926,1.00755,0.53377,0.42174,0.42994,0.16249,0.47356,0.39287,0.40115,0.13078,2.0979,2.24281,1.41422,1.09226,0.0010892,0.0010892,0.0010892
25,1557.76,1.7728,2.14254,1.17327,1.00407,0.51087,0.41858,0.41291,0.17634,0.48416,0.38399,0.39991,0.1402,1.96875,2.26714,1.44545,1.05156,0.0010496,0.0010496,0.0010496
26,1619.49,1.76694,2.12689,1.18287,1.00298,0.52069,0.43257,0.41656,0.16425,0.5213,0.36536,0.38641,0.1297,2.13026,2.50305,1.46764,1.10675,0.00101,0.00101,0.00101
27,1679.88,1.74927,2.09414,1.16702,0.99201,0.53879,0.43473,0.42869,0.17487,0.5261,0.39959,0.41422,0.14648,2.10523,2.63281,1.41626,1.12106,0.0009704,0.0009704,0.0009704
28,1740.7,1.74531,2.09433,1.13586,0.99054,0.55334,0.46044,0.44157,0.19386,0.55503,0.45873,0.4639,0.16987,1.98047,2.32766,1.34397,1.0962,0.0009308,0.0009308,0.0009308
29,1801.08,1.73381,2.09471,1.11442,0.98605,0.52274,0.41137,0.4133,0.15665,0.47955,0.34281,0.37234,0.12216,2.2134,2.46495,1.42676,1.1199,0.0008912,0.0008912,0.0008912
30,1861.79,1.70388,2.07291,1.12398,0.97642,0.53322,0.44725,0.43477,0.18975,0.52267,0.39287,0.41442,0.14772,1.95399,2.33944,1.36803,1.06742,0.0008516,0.0008516,0.0008516
31,1923.46,1.71941,2.09204,1.12181,0.98913,0.5484,0.43437,0.43607,0.19563,0.51428,0.39242,0.40946,0.15333,1.95257,2.6124,1.35148,1.07373,0.000812,0.000812,0.000812
32,1984.14,1.70115,2.06011,1.11034,0.97412,0.59548,0.4296,0.45153,0.17731,0.53423,0.36987,0.4087,0.12831,2.17607,2.52717,1.37821,1.14245,0.0007724,0.0007724,0.0007724
33,2045.45,1.69952,2.05361,1.10409,0.97664,0.55797,0.46459,0.46821,0.20481,0.53589,0.39964,0.43544,0.1586,1.95669,2.29907,1.29685,1.05309,0.0007328,0.0007328,0.0007328
34,2107.8,1.67196,2.04277,1.09362,0.97287,0.57698,0.45835,0.46594,0.19478,0.54266,0.41001,0.44463,0.15794,2.02031,2.39081,1.35284,1.07966,0.0006932,0.0006932,0.0006932
35,2167.88,1.68264,2.01492,1.09132,0.9697,0.57751,0.43482,0.4606,0.2004,0.55032,0.36708,0.42699,0.15348,1.95683,2.34672,1.3448,1.07221,0.0006536,0.0006536,0.0006536
36,2228.25,1.66342,2.01145,1.05387,0.97106,0.54968,0.45467,0.46132,0.20667,0.53807,0.39693,0.43521,0.15371,1.94075,2.52063,1.31767,1.06404,0.000614,0.000614,0.000614
37,2291.16,1.6411,2.00894,1.06453,0.96396,0.55442,0.44429,0.45736,0.19962,0.52071,0.38024,0.42654,0.15015,1.98548,2.4591,1.33613,1.07037,0.0005744,0.0005744,0.0005744
38,2351.81,1.63829,1.99069,1.05229,0.96078,0.57981,0.45332,0.46564,0.20515,0.55295,0.40956,0.45464,0.15758,1.93454,2.47848,1.29095,1.06293,0.0005348,0.0005348,0.0005348
39,2412.69,1.62653,1.96613,1.03,0.95951,0.56399,0.43993,0.45038,0.19933,0.54636,0.39332,0.43008,0.154,2.00753,2.68363,1.31413,1.08112,0.0004952,0.0004952,0.0004952
40,2475.16,1.61907,1.97029,1.04019,0.95852,0.55162,0.44892,0.43719,0.18602,0.50705,0.39738,0.40049,0.14044,2.03085,2.67763,1.36143,1.07737,0.0004556,0.0004556,0.0004556
41,2534.17,1.66681,2.03985,1.08643,0.98161,0.58748,0.46314,0.4757,0.21766,0.59499,0.43888,0.4835,0.18235,1.86597,2.31647,1.29681,1.04224,0.000416,0.000416,0.000416
42,2588.51,1.64925,2.03645,1.05855,0.98375,0.58378,0.47903,0.48352,0.21901,0.56247,0.42445,0.46599,0.17094,1.90593,2.38143,1.27306,1.04474,0.0003764,0.0003764,0.0003764
43,2644.79,1.61762,2.0042,1.02183,0.97159,0.58383,0.47361,0.48227,0.21444,0.53869,0.4258,0.45485,0.16838,1.92138,2.4096,1.31428,1.05842,0.0003368,0.0003368,0.0003368
44,2700.96,1.61126,1.98402,1.02572,0.97316,0.59844,0.48579,0.49585,0.22347,0.58953,0.44971,0.49273,0.18573,1.87552,2.21541,1.27173,1.0468,0.0002972,0.0002972,0.0002972
45,2757.75,1.59402,1.94569,1.00915,0.9678,0.57031,0.47903,0.47618,0.22166,0.58236,0.45599,0.49395,0.19123,1.83114,2.16341,1.28037,1.03277,0.0002576,0.0002576,0.0002576
46,2815.11,1.58692,1.98328,1.01075,0.96408,0.61064,0.47497,0.48851,0.22336,0.59208,0.46053,0.50464,0.19905,1.86015,2.16904,1.26652,1.03576,0.000218,0.000218,0.000218
