epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.453,2.45983,3.26023,3.50065,1.34237,0.34027,0.20547,0.15538,0.04696,0.35419,0.20953,0.16849,0.0462,2.53752,3.157,2.76075,1.31663,0.000662551,0.000662551,0.000662551
2,209.641,2.30197,2.90409,2.05636,1.2339,0.37735,0.27938,0.23698,0.07747,0.36042,0.24982,0.20672,0.05462,2.55358,3.27838,3.16917,1.27396,0.0013029,0.0013029,0.0013029
3,307.882,2.3082,2.8907,1.78494,1.24429,0.47719,0.32927,0.32842,0.12183,0.50653,0.30414,0.3225,0.10722,2.33195,2.8859,1.67309,1.20337,0.00191685,0.00191685,0.00191685
4,404.265,2.26612,2.80976,1.67524,1.21441,0.33992,0.25159,0.19684,0.06595,0.31256,0.23134,0.1894,0.05097,2.65845,3.39405,2.13139,1.27021,0.0018812,0.0018812,0.0018812
5,501.163,2.24671,2.79719,1.63405,1.22125,0.41636,0.25573,0.2206,0.06938,0.40544,0.23947,0.2094,0.06062,2.64337,3.4482,2.06722,1.32664,0.0018416,0.0018416,0.0018416
6,597.359,2.21515,2.78364,1.56855,1.20008,0.43749,0.3288,0.29885,0.10172,0.38934,0.31079,0.28819,0.08526,2.45699,3.00467,1.69911,1.23024,0.001802,0.001802,0.001802
7,696.752,2.17608,2.73934,1.53198,1.18861,0.43449,0.32225,0.28376,0.09484,0.413,0.30377,0.27484,0.08437,2.39689,2.99581,1.81034,1.19813,0.0017624,0.0017624,0.0017624
8,792.525,2.14198,2.68534,1.46945,1.1754,0.49454,0.27753,0.28229,0.09753,0.4608,0.23282,0.24504,0.07008,2.49081,3.11699,1.77997,1.22929,0.0017228,0.0017228,0.0017228
9,889.316,2.13033,2.69429,1.45871,1.16363,0.59294,0.35994,0.36746,0.14516,0.55957,0.34745,0.36669,0.13722,2.22406,2.77101,1.55379,1.18041,0.0016832,0.0016832,0.0016832
10,988.758,2.13015,2.7093,1.46397,1.16787,0.54816,0.39579,0.36723,0.14704,0.52566,0.37595,0.35707,0.12619,2.14524,2.83869,1.66913,1.14876,0.0016436,0.0016436,0.0016436
