epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.3162,2.53954,3.33465,3.97716,1.34293,0.55087,0.03013,0.09596,0.03705,0.5883,0.03218,0.10571,0.03345,2.41146,3.15006,3.85334,1.18372,0.000661017,0.000661017,0.000661017
2,133.923,2.33242,2.88776,2.36792,1.22275,0.29881,0.21358,0.13733,0.03748,0.23154,0.18083,0.09598,0.021,2.75086,4.8695,2.75293,1.44741,0.0013014,0.0013014,0.0013014
3,196.684,2.38177,2.91331,2.04,1.2462,0.35524,0.29751,0.22046,0.08228,0.35162,0.31389,0.23718,0.07813,2.40472,2.916,2.19391,1.29508,0.00191537,0.00191537,0.00191537
4,259.651,2.25625,2.70836,1.7739,1.20764,0.38814,0.31866,0.2523,0.09285,0.40022,0.33777,0.27332,0.08768,2.35588,2.85934,1.92025,1.27563,0.0018812,0.0018812,0.0018812
5,322.912,2.25096,2.68369,1.70134,1.1965,0.37431,0.29432,0.21079,0.0772,0.38635,0.28011,0.23587,0.07625,2.43894,3.16409,2.70214,1.27325,0.0018416,0.0018416,0.0018416
6,384.805,2.15897,2.61696,1.63178,1.17038,0.40615,0.25861,0.23847,0.08428,0.37034,0.26612,0.24299,0.08238,2.36016,4.1626,2.28669,1.22847,0.001802,0.001802,0.001802
7,448.555,2.10418,2.5514,1.54434,1.15668,0.36015,0.26919,0.24485,0.09667,0.34864,0.25111,0.25224,0.08985,2.38265,2.54776,2.0777,1.22363,0.0017624,0.0017624,0.0017624
8,511.927,2.11252,2.58459,1.55845,1.14277,0.44349,0.32924,0.29195,0.11068,0.40412,0.33913,0.30415,0.10885,2.24293,2.59934,1.68941,1.17353,0.0017228,0.0017228,0.0017228
9,575.755,2.05946,2.45888,1.46528,1.13641,0.41971,0.30877,0.27872,0.1016,0.41815,0.29103,0.27392,0.09119,2.26837,2.52072,1.77418,1.19669,0.0016832,0.0016832,0.0016832
10,637.556,2.05762,2.50368,1.49,1.13543,0.41131,0.28147,0.27783,0.10667,0.35521,0.2668,0.26178,0.0941,2.33191,2.60643,2.07059,1.18389,0.0016436,0.0016436,0.0016436
11,700.103,2.07247,2.50246,1.47531,1.13747,0.37535,0.29307,0.25956,0.09786,0.38454,0.26199,0.24799,0.08463,2.35373,2.95847,1.85243,1.2156,0.001604,0.001604,0.001604
12,762.961,2.02757,2.42005,1.42924,1.11431,0.4593,0.34391,0.3001,0.12696,0.46448,0.3463,0.33306,0.12437,2.12425,2.42395,1.6066,1.14853,0.0015644,0.0015644,0.0015644
13,825.129,2.0043,2.39806,1.39534,1.1137,0.40935,0.32822,0.28847,0.11855,0.41787,0.3306,0.31279,0.11844,2.19644,2.53101,1.7058,1.17566,0.0015248,0.0015248,0.0015248
14,888.41,1.95438,2.35869,1.37141,1.10008,0.40654,0.28725,0.2726,0.10452,0.35735,0.27738,0.2624,0.09094,2.32423,2.59211,1.97471,1.20518,0.0014852,0.0014852,0.0014852
15,950.456,1.98316,2.42024,1.38493,1.09349,0.43836,0.35585,0.29677,0.12045,0.43259,0.3306,0.30718,0.10644,2.24373,2.63502,1.65642,1.19887,0.0014456,0.0014456,0.0014456
16,1012.34,2.00832,2.44664,1.40176,1.10067,0.45329,0.34971,0.32417,0.13016,0.43208,0.319,0.31188,0.11343,2.15695,2.45289,1.57392,1.12175,0.001406,0.001406,0.001406
17,1075.96,1.95343,2.40243,1.37688,1.09234,0.4288,0.31627,0.29264,0.12206,0.40754,0.29572,0.29857,0.10777,2.17885,2.48553,1.67535,1.14621,0.0013664,0.0013664,0.0013664
18,1138.97,1.97077,2.39681,1.36857,1.0984,0.48002,0.32549,0.31875,0.12825,0.46561,0.29751,0.31761,0.12007,2.19405,2.69876,1.67789,1.17164,0.0013268,0.0013268,0.0013268
19,1203.42,1.90686,2.34913,1.31772,1.06432,0.45978,0.36745,0.32664,0.13564,0.46289,0.3637,0.34874,0.13043,2.12264,2.4823,1.52705,1.14083,0.0012872,0.0012872,0.0012872
20,1265.93,1.92652,2.3446,1.36061,1.08704,0.46743,0.36097,0.32839,0.13699,0.481,0.36609,0.36736,0.14509,2.16166,2.42937,1.53539,1.15653,0.0012476,0.0012476,0.0012476
21,1329.03,1.92227,2.35411,1.31616,1.07664,0.44363,0.34766,0.3168,0.12682,0.42778,0.33811,0.32999,0.11925,2.18442,2.52833,1.63174,1.15013,0.001208,0.001208,0.001208
22,1391.46,1.8683,2.31161,1.25284,1.06239,0.49409,0.38246,0.35515,0.14944,0.4996,0.36438,0.3811,0.14434,2.11199,2.39525,1.47568,1.13358,0.0011684,0.0011684,0.0011684
23,1453.59,1.87463,2.29664,1.26461,1.06051,0.42148,0.32612,0.29938,0.11903,0.41204,0.30706,0.30712,0.11378,2.22627,2.64462,1.6852,1.15688,0.0011288,0.0011288,0.0011288
24,1517.12,1.89525,2.30647,1.29278,1.07097,0.49868,0.37155,0.34168,0.1383,0.48723,0.36575,0.3576,0.13104,2.10848,2.39001,1.51412,1.12393,0.0010892,0.0010892,0.0010892
25,1579.61,1.86037,2.29736,1.26465,1.05968,0.48611,0.36779,0.35522,0.14035,0.46098,0.34016,0.35292,0.12836,2.11454,2.40808,1.52474,1.11665,0.0010496,0.0010496,0.0010496
26,1641.95,1.8446,2.31954,1.24733,1.06325,0.48243,0.35722,0.34294,0.14604,0.46833,0.37052,0.37606,0.14761,2.12812,2.38431,1.52733,1.13636,0.00101,0.00101,0.00101
27,1704.83,1.82509,2.27428,1.22592,1.04431,0.49147,0.37086,0.34944,0.14209,0.48279,0.32207,0.33849,0.12268,2.14575,2.47964,1.50098,1.13154,0.0009704,0.0009704,0.0009704
28,1766.76,1.8455,2.29346,1.23404,1.04884,0.43769,0.3538,0.3142,0.1269,0.3909,0.32753,0.30519,0.10654,2.22971,2.44737,1.59956,1.13862,0.0009308,0.0009308,0.0009308
29,1829.45,1.83975,2.24349,1.22886,1.05457,0.5154,0.37871,0.37151,0.15105,0.48087,0.36131,0.3735,0.13725,2.10505,2.43033,1.46165,1.12921,0.0008912,0.0008912,0.0008912
30,1891.52,1.8189,2.24624,1.20414,1.03839,0.38662,0.28591,0.2555,0.09305,0.34234,0.26646,0.24142,0.07664,2.45087,2.84107,1.81426,1.21216,0.0008516,0.0008516,0.0008516
31,1953.5,1.82795,2.22005,1.20593,1.05032,0.52422,0.38315,0.38152,0.16345,0.52176,0.33879,0.37399,0.14438,2.06222,2.42331,1.40717,1.11566,0.000812,0.000812,0.000812
32,2016.68,1.79655,2.22404,1.17514,1.02888,0.52457,0.36643,0.37606,0.15795,0.48563,0.35039,0.37569,0.14444,2.06807,2.34766,1.46231,1.11758,0.0007724,0.0007724,0.0007724
33,2078.58,1.78048,2.2077,1.16387,1.02918,0.50028,0.34289,0.32983,0.13261,0.46909,0.36596,0.35833,0.13531,2.15879,2.49348,1.51227,1.16037,0.0007328,0.0007328,0.0007328
34,2141.02,1.7493,2.17257,1.13716,1.02581,0.52,0.38485,0.37434,0.16339,0.51168,0.37666,0.39653,0.15433,2.06222,2.36969,1.39754,1.12045,0.0006932,0.0006932,0.0006932
35,2204.04,1.74707,2.20413,1.14264,1.02643,0.503,0.36438,0.3541,0.14844,0.46404,0.36336,0.36857,0.13767,2.10976,2.42444,1.51637,1.12368,0.0006536,0.0006536,0.0006536
36,2267.64,1.72869,2.14517,1.12663,1.02009,0.51641,0.3654,0.35818,0.14376,0.49799,0.35995,0.37935,0.14292,2.13702,2.50548,1.46027,1.13704,0.000614,0.000614,0.000614
37,2330.83,1.74001,2.18766,1.12561,1.01644,0.53127,0.38485,0.37906,0.16317,0.51961,0.36472,0.3876,0.14848,2.03932,2.34884,1.42029,1.10646,0.0005744,0.0005744,0.0005744
38,2392.86,1.71285,2.14517,1.09543,1.01259,0.53086,0.38383,0.37414,0.16217,0.52025,0.36506,0.38992,0.14913,2.08206,2.40901,1.41358,1.13299,0.0005348,0.0005348,0.0005348
39,2455.35,1.74587,2.16043,1.10221,1.0174,0.54805,0.37973,0.37853,0.1596,0.52494,0.3654,0.39233,0.14629,2.08464,2.33293,1.41066,1.13277,0.0004952,0.0004952,0.0004952
40,2519.39,1.71548,2.12217,1.08822,1.01454,0.53743,0.38485,0.37605,0.16134,0.52948,0.36097,0.39444,0.15322,2.12207,2.41541,1.41694,1.14515,0.0004556,0.0004556,0.0004556
41,2580.13,1.77818,2.2209,1.14649,1.04749,0.55821,0.37325,0.37753,0.15997,0.54731,0.36438,0.40314,0.15223,2.11064,2.37107,1.45059,1.13368,0.000416,0.000416,0.000416
42,2637.82,1.76759,2.24709,1.13028,1.04839,0.54819,0.38553,0.38091,0.1637,0.571,0.377,0.41479,0.15753,2.07273,2.39898,1.41663,1.12219,0.0003764,0.0003764,0.0003764
43,2694.69,1.72088,2.21116,1.09896,1.02671,0.48671,0.37632,0.35697,0.14925,0.47457,0.34082,0.35502,0.13424,2.13504,2.49449,1.48812,1.13677,0.0003368,0.0003368,0.0003368
44,2752.03,1.73494,2.19739,1.11154,1.03602,0.54237,0.38859,0.38182,0.16356,0.5418,0.36882,0.39836,0.15037,2.07343,2.38614,1.41001,1.11822,0.0002972,0.0002972,0.0002972
45,2808.98,1.70343,2.18852,1.08037,1.02907,0.57495,0.38758,0.39052,0.1704,0.54348,0.3695,0.4037,0.15681,2.05077,2.41111,1.37693,1.11065,0.0002576,0.0002576,0.0002576
46,2865.01,1.6845,2.14822,1.06308,1.02289,0.55052,0.39072,0.39003,0.16549,0.5323,0.37018,0.39997,0.15336,2.07974,2.3979,1.39634,1.13003,0.000218,0.000218,0.000218
